State,DistribSI,T.Start.abs,T.End.abs,Mean_R,Quantile_2.5,Quantile_97.5
Rio Janeiro,Gamma,06/02/2016,05/03/2016,0.973825676510352,0.95014926691067,0.997494444919303
Rio Janeiro,Gamma,13/02/2016,12/03/2016,0.949310484187727,0.927158792955316,0.971680885969111
Rio Janeiro,Gamma,20/02/2016,19/03/2016,0.939767620917431,0.916752032012543,0.963841030913839
Rio Janeiro,Gamma,27/02/2016,26/03/2016,0.799763327701681,0.776560969076517,0.82418965376928
Rio Janeiro,Gamma,05/03/2016,02/04/2016,0.690171811825869,0.660989617143032,0.731911827968792
Rio Janeiro,Gamma,12/03/2016,09/04/2016,0.534685709500906,0.49246673388314,0.59242867641696
Sao Paulo,Gamma,09/01/2016,06/02/2016,3.50169542937254,2.55185323027216,4.94713426970972
Sao Paulo,Gamma,16/01/2016,13/02/2016,3.00291300955544,2.09762509459476,4.00707492137306
Sao Paulo,Gamma,23/01/2016,20/02/2016,2.37837102257852,1.72884474783186,3.267013853758
Sao Paulo,Gamma,30/01/2016,27/02/2016,1.94056083646157,1.54038114352477,2.49469225759669
Sao Paulo,Gamma,06/02/2016,05/03/2016,1.89159480765993,1.58949283390445,2.26914684740616
Sao Paulo,Gamma,13/02/2016,12/03/2016,1.65230934117097,1.39350818835883,1.92920300087548
Sao Paulo,Gamma,20/02/2016,19/03/2016,1.45558751038928,1.2639847132963,1.68630033079652
Sao Paulo,Gamma,27/02/2016,26/03/2016,1.33417168771236,1.20547368247905,1.49200851491258
Sao Paulo,Gamma,05/03/2016,02/04/2016,1.48516924903905,1.37198755793473,1.61227479388279
