Country,DistribSI,T.Start.abs,T.End.abs,Mean_R,Quantile_2.5,Quantile_97.5
Colombia,Gamma,16/04/2016,14/05/2016,0.891458670211904,0.875817357696062,0.907744714631155
Colombia,Gamma,23/04/2016,21/05/2016,0.855539863343079,0.83089192989206,0.885255285153619
Colombia,Gamma,30/04/2016,28/05/2016,0.776456242949494,0.743614892267927,0.809985651246567
Costa Rica,Gamma,20/02/2016,19/03/2016,1.28540243084829,1.04262179542852,1.59960692258459
Costa Rica,Gamma,27/02/2016,26/03/2016,0.469665634298401,0.359254610486155,0.596937403904419
Costa Rica,Gamma,05/03/2016,02/04/2016,0.237371459456701,0.161484035230904,0.330266516832099
Costa Rica,Gamma,12/03/2016,09/04/2016,0.544727301882763,0.371509471744144,0.797910203003999
Costa Rica,Gamma,19/03/2016,16/04/2016,1.74313563029035,1.21140971000157,2.377302870278
Costa Rica,Gamma,26/03/2016,23/04/2016,2.08740877659666,1.56970677773405,2.7711685235735
Costa Rica,Gamma,02/04/2016,30/04/2016,2.23452301224902,1.66795251721328,3.10709601243708
Costa Rica,Gamma,09/04/2016,07/05/2016,2.17004103257553,1.72170328771386,2.72863426471952
Costa Rica,Gamma,16/04/2016,14/05/2016,3.80258920175188,3.06709549768194,4.63804878935435
Costa Rica,Gamma,23/04/2016,21/05/2016,4.2293006939825,2.89451796041767,5.56021434824498
Dominica,Gamma,12/03/2016,09/04/2016,4.82524038504442,2.99697873795548,7.40391949607754
Dominica,Gamma,19/03/2016,16/04/2016,4.52959424271385,2.68791886216149,7.01187817990753
Dominica,Gamma,26/03/2016,23/04/2016,4.23006603326045,2.6556807198435,6.62948398423995
Dominica,Gamma,02/04/2016,30/04/2016,3.63833053528509,2.38521943393761,5.44412407365664
Dominica,Gamma,09/04/2016,07/05/2016,2.19379410335606,1.49422015604936,3.19041602795694
Dominican Republic,Gamma,09/01/2016,06/02/2016,5.4403441887713,2.92229263546246,10.6806586682894
Dominican Republic,Gamma,16/01/2016,13/02/2016,3.31725971720571,2.07691625593,5.36336027073469
Dominican Republic,Gamma,23/01/2016,20/02/2016,2.26500732484354,1.62104952601786,3.26018628410218
Dominican Republic,Gamma,30/01/2016,27/02/2016,1.680085812286,1.33734810451349,2.15906818212063
Dominican Republic,Gamma,06/02/2016,05/03/2016,1.38318630761992,1.17971205822497,1.64914424773812
Dominican Republic,Gamma,13/02/2016,12/03/2016,1.17131026243486,1.0383787183017,1.32934171028602
Dominican Republic,Gamma,20/02/2016,19/03/2016,1.19706051445558,1.08886544633587,1.31781660481738
Dominican Republic,Gamma,27/02/2016,26/03/2016,1.14311036457508,1.04607271272309,1.2447652075799
Dominican Republic,Gamma,05/03/2016,02/04/2016,1.16694681267627,1.06919246132724,1.26991631276146
Dominican Republic,Gamma,12/03/2016,09/04/2016,1.31233788269085,1.21216855192296,1.41925904701871
Dominican Republic,Gamma,19/03/2016,16/04/2016,1.46247023452135,1.33221059494129,1.58881112110485
Dominican Republic,Gamma,26/03/2016,23/04/2016,1.526511649182,1.3526591781463,1.7007196233768
Dominican Republic,Gamma,02/04/2016,30/04/2016,1.65194173456363,1.4551200057437,1.87035795111691
Ecuador,Gamma,09/01/2016,06/02/2016,2.55762584870329,1.59084816431697,4.0322975837659
Ecuador,Gamma,16/01/2016,13/02/2016,1.93208440736783,1.3539418402446,2.74450982344063
Ecuador,Gamma,23/01/2016,20/02/2016,1.36160028426115,1.00613855253001,1.80302766818762
Ecuador,Gamma,30/01/2016,27/02/2016,1.03511136441291,0.782065723428874,1.33557246175822
