"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MXM00076647","VALLADOLID YUC., MX","2015-01-30","0.00","71","86","55"
"MXM00076647","VALLADOLID YUC., MX","2015-01-31","0.00","73","86","55"
"MXM00076647","VALLADOLID YUC., MX","2015-02-01","0.00","73","88","58"
"MXM00076647","VALLADOLID YUC., MX","2015-02-02","0.00","75","90","62"
"MXM00076647","VALLADOLID YUC., MX","2015-02-03","0.97","77","91","65"
"MXM00076647","VALLADOLID YUC., MX","2015-02-04","0.00","77","91","68"
"MXM00076647","VALLADOLID YUC., MX","2015-02-05","0.00","75","90","68"
"MXM00076647","VALLADOLID YUC., MX","2015-02-06","0.08","72","83","63"
"MXM00076647","VALLADOLID YUC., MX","2015-02-07","0.00","72",,
"MXM00076647","VALLADOLID YUC., MX","2015-02-08","0.00","71",,
"MXM00076647","VALLADOLID YUC., MX","2015-02-09","0.00","73","90","57"
"MXM00076647","VALLADOLID YUC., MX","2015-02-10","0.00","69","90","57"
"MXM00076647","VALLADOLID YUC., MX","2015-02-11","0.00","70","88","55"
"MXM00076647","VALLADOLID YUC., MX","2015-02-12","0.00","73","87","55"
"MXM00076647","VALLADOLID YUC., MX","2015-02-13","0.00","70","89","56"
"MXM00076647","VALLADOLID YUC., MX","2015-02-14","0.00","71","87","56"
"MXM00076647","VALLADOLID YUC., MX","2015-02-15","0.00","71","86","57"
"MXM00076647","VALLADOLID YUC., MX","2015-02-16","0.00","74","88","57"
"MXM00076647","VALLADOLID YUC., MX","2015-02-17","0.00","76",,
"MXM00076647","VALLADOLID YUC., MX","2015-02-18","0.04","76","95","62"
"MXM00076647","VALLADOLID YUC., MX","2015-02-19",,"71","82","58"
"MXM00076647","VALLADOLID YUC., MX","2015-02-20","0.00","68","81","55"
"MXM00076647","VALLADOLID YUC., MX","2015-02-21","0.00","70","86","55"
"MXM00076647","VALLADOLID YUC., MX","2015-02-22","0.00","77","91","56"
"MXM00076647","VALLADOLID YUC., MX","2015-02-23","0.00","82",,
"MXM00076647","VALLADOLID YUC., MX","2015-02-24","0.00","81","96","68"
"MXM00076647","VALLADOLID YUC., MX","2015-02-25","0.00","81","97","68"
"MXM00076647","VALLADOLID YUC., MX","2015-02-26","0.00","84","96","69"
"MXM00076647","VALLADOLID YUC., MX","2015-02-27","0.00","79","97","73"
"MXM00076647","VALLADOLID YUC., MX","2015-02-28","0.01","77","91","70"
"MXM00076647","VALLADOLID YUC., MX","2015-03-01","0.09","78",,
"MXM00076647","VALLADOLID YUC., MX","2015-03-02","0.00","80","95","69"
"MXM00076647","VALLADOLID YUC., MX","2015-03-03","0.00","80","95","70"
"MXM00076647","VALLADOLID YUC., MX","2015-03-04","0.00","80","94","69"
"MXM00076647","VALLADOLID YUC., MX","2015-03-05","0.00","81","94","69"
"MXM00076647","VALLADOLID YUC., MX","2015-03-06","0.00","81","95","70"
"MXM00076647","VALLADOLID YUC., MX","2015-03-07","0.17","79","96","69"
"MXM00076647","VALLADOLID YUC., MX","2015-03-08","0.00","78","95","67"
"MXM00076647","VALLADOLID YUC., MX","2015-03-09","0.00","80","95","67"
"MXM00076647","VALLADOLID YUC., MX","2015-03-10","0.00","80","94","68"
"MXM00076647","VALLADOLID YUC., MX","2015-03-11","0.00","82","94","70"
"MXM00076647","VALLADOLID YUC., MX","2015-03-12","0.00","82","96","73"
"MXM00076647","VALLADOLID YUC., MX","2015-03-13","0.00","80","97","69"
"MXM00076647","VALLADOLID YUC., MX","2015-03-14","0.00","81","95","69"
"MXM00076647","VALLADOLID YUC., MX","2015-03-15","0.00","83","95","70"
"MXM00076647","VALLADOLID YUC., MX","2015-03-16","0.00","81","97","65"
"MXM00076647","VALLADOLID YUC., MX","2015-03-17","0.00","81","96","65"
"MXM00076647","VALLADOLID YUC., MX","2015-03-18","1.46","80","98","66"
"MXM00076647","VALLADOLID YUC., MX","2015-03-19","0.00","80","97","67"
"MXM00076647","VALLADOLID YUC., MX","2015-03-20","0.00","81","94","67"
