City,Searches,Rain,Temp,Cases
Mexico-Hidalgo,21,7.6,13.8,0
Mexico-Hidalgo,0,88.9,21.2,0
Mexico-Hidalgo,13,53.2,16.4,10
Mexico-Hidalgo,21,134.2,20.7,10
Mexico-Hidalgo,0,4.9,16.5,0
Mexico-Hidalgo,6,53.2,16.4,6
Mexico-Hidalgo,0,69.2,22.1,0
Mexico-Hidalgo,21,51.2,23,0
Mexico-Hidalgo,0,33.2,20.9,0
Mexico-Hidalgo,0,130.7,20.7,0
Mexico-Hidalgo,44,95.1,20.3,0
Mexico-Hidalgo,0,3.1,15.7,0
Mexico-Hidalgo,0,18.5,16.4,1
Mexico-Hidalgo,0,58.3,18.6,12
Mexico-Hidalgo,0,18.5,16.4,1
Mexico-Hidalgo,26,16.5,19.6,0
Mexico-Hidalgo,63,16.8,18.5,0
Mexico-Hidalgo,0,3.1,15.7,1
Mexico-Hidalgo,12,116.6,20.3,5
Mexico-Hidalgo,23,2.4,14.9,0
Mexico-Hidalgo,6,49.4,22.6,0
Mexico-Hidalgo,0,109.6,18.2,3
Mexico-Hidalgo,13,109.6,18.2,3
Mexico-Hidalgo,0,20.7,18.4,0
Mexico-Hidalgo,9,53.2,16.4,6
Mexico-Hidalgo,0,182.1,19.8,2
Mexico-Hidalgo,10,2.4,14.9,0
Mexico-Hidalgo,17,69.2,22.1,1
Mexico-Hidalgo,29,2.4,14.9,0
Mexico-Hidalgo,0,88.9,21.2,1
Mexico-Hidalgo,0,182.1,19.8,9
Mexico-Hidalgo,24,7.6,13.8,0
Mexico-State_Of_Mexico,1,10.2,13.2,0
Mexico-State_Of_Mexico,6,1.1,12.8,0
Mexico-State_Of_Mexico,6,1.1,12.8,0
Mexico-State_Of_Mexico,2,119.7,17.3,0
Mexico-State_Of_Mexico,5,171.2,15.8,0
Mexico-State_Of_Mexico,5,14.3,15.7,0
Mexico-State_Of_Mexico,1,3.3,12.7,0
Mexico-State_Of_Mexico,7,209.5,16.5,0
Mexico-State_Of_Mexico,2,10.2,13.2,0
Mexico-State_Of_Mexico,4,31.7,14.7,0
Mexico-State_Of_Mexico,10,76.7,17.8,0
Mexico-State_Of_Mexico,2,171.2,15.8,0
Mexico-State_Of_Mexico,23,14.3,15.7,0
Mexico-State_Of_Mexico,4,200.3,16.1,0
Mexico-State_Of_Mexico,12,209.5,16.5,1
Mexico-State_Of_Mexico,0,10.2,13.2,0
Mexico-State_Of_Mexico,1,3.3,12.7,0
Mexico-State_Of_Mexico,15,14.3,15.7,0
Mexico-State_Of_Mexico,14,17,14.2,0
Mexico-State_Of_Mexico,17,200.3,16.1,0
Mexico-State_Of_Mexico,1,45.3,12.8,0
Mexico-State_Of_Mexico,31,37.4,14.3,0
Mexico-State_Of_Mexico,11,86.6,17.8,0
Mexico-State_Of_Mexico,4,3.5,13.7,0
Mexico-State_Of_Mexico,19,37.4,14.3,0
