CITY,29/12/2013,05/01/2014,12/01/2014,19/01/2014,26/01/2014,02/02/2014,09/02/2014,16/02/2014,23/02/2014,02/03/2014,09/03/2014,16/03/2014,23/03/2014,30/03/2014,06/04/2014,13/04/2014,20/04/2014,27/04/2014,04/05/2014,11/05/2014,18/05/2014,25/05/2014,01/06/2014,08/06/2014,15/06/2014,22/06/2014,29/06/2014,06/07/2014,13/07/2014,20/07/2014,27/07/2014,03/08/2014,10/08/2014,17/08/2014,24/08/2014,31/08/2014,07/09/2014,14/09/2014,21/09/2014,28/09/2014,05/10/2014,12/10/2014,19/10/2014,26/10/2014,02/11/2014,09/11/2014,16/11/2014,23/11/2014,30/11/2014,07/12/2014,14/12/2014,21/12/2014,28/12/2014,04/01/2015,11/01/2015,18/01/2015,25/01/2015,01/02/2015,08/02/2015,15/02/2015,22/02/2015,01/03/2015,08/03/2015,15/03/2015,22/03/2015,29/03/2015,05/04/2015,12/04/2015,19/04/2015,26/04/2015,03/05/2015,10/05/2015,17/05/2015,24/05/2015,31/05/2015,07/06/2015,14/06/2015,21/06/2015,28/06/2015,05/07/2015,12/07/2015,19/07/2015,26/07/2015,02/08/2015,09/08/2015,16/08/2015,23/08/2015,30/08/2015,06/09/2015,13/09/2015,20/09/2015,27/09/2015,04/10/2015,11/10/2015,18/10/2015,25/10/2015,01/11/2015,08/11/2015,15/11/2015,22/11/2015,29/11/2015,06/12/2015,13/12/2015,20/12/2015,27/12/2015,03/01/2016,10/01/2016,17/01/2016,24/01/2016,31/01/2016,07/02/2016,14/02/2016,21/02/2016,28/02/2016,06/03/2016,13/03/2016,20/03/2016,27/03/2016,03/04/2016,10/04/2016,17/04/2016,24/04/2016,01/05/2016,08/05/2016,15/05/2016,22/05/2016,29/05/2016,05/06/2016,12/06/2016,19/06/2016,26/06/2016,03/07/2016,10/07/2016,17/07/2016,24/07/2016,31/07/2016,07/08/2016,14/08/2016,21/08/2016,28/08/2016,04/09/2016,11/09/2016,18/09/2016,25/09/2016,02/10/2016,09/10/2016,16/10/2016,23/10/2016,30/10/2016,06/11/2016,13/11/2016,20/11/2016,27/11/2016,04/12/2016,11/12/2016,18/12/2016,25/12/2016
State of Mato Grosso,0,29,0,32,100,10,0,0,0,38,0,0,0,0,35,60,41,36,52,52,28,0,12,0,19,0,0,55,0,100,35,0,0,32,0,95,9,100,51,50,37,8,0,0,100,40,36,0,0,58,0,59,32,0,29,0,62,0,0,0,57,0,35,0,51,100,0,0,0,0,11,6,5,5,15,13,26,6,0,10,2,0,9,5,30,28,0,8,16,36,15,29,29,7,41,100,100,66,51,87,76,63,99,100,100,100,100,100,100,100,88,58,84,82,58,50,60,26,36,34,21,19,30,39,20,16,10,27,24,51,31,51,27,6,34,14,28,37,59,30,13,39,14,52,96,22,11,59,15,55,22,38,18,34,53,27,98
State of Mato Grosso do Sul,56,33,11,0,0,0,0,40,45,0,100,0,37,99,38,100,16,0,0,0,31,0,0,0,11,62,10,0,71,57,0,0,0,0,77,99,0,0,0,54,0,0,0,0,0,43,36,0,0,61,30,0,0,0,0,0,0,0,0,23,63,0,0,0,55,53,0,0,0,19,6,6,15,14,8,0,0,13,0,0,0,0,15,11,0,0,9,0,6,0,0,0,0,0,0,0,28,26,38,24,27,41,74,34,31,32,55,61,52,61,100,74,31,74,77,58,41,63,68,48,27,38,29,26,22,22,14,24,17,13,33,34,0,12,49,39,12,24,70,24,0,21,34,94,24,13,12,27,0,37,6,6,0,13,40,15,0
State of Minas Gerais,20,29,17,19,28,12,25,65,33,27,31,21,63,47,73,21,21,39,31,52,22,13,8,35,12,25,3,54,34,67,38,25,8,27,40,60,5,35,41,11,41,6,20,3,28,18,28,41,3,60,25,51,7,23,19,100,7,25,7,10,13,4,16,36,18,40,53,27,9,12,9,11,12,10,11,7,4,3,11,5,2,5,7,5,8,5,8,2,3,12,2,1,11,3,13,6,12,17,28,34,33,41,48,23,16,20,34,29,58,52,70,64,75,75,83,66,56,61,60,61,46,34,44,32,32,34,21,21,28,23,36,27,27,12,21,22,22,17,27,14,22,23,22,16,27,19,12,26,13,30,14,15,22,27,28,24,52
State of Paraná,17,5,3,21,11,2,23,17,25,35,28,17,43,49,21,31,8,35,63,18,10,13,12,4,7,0,2,0,0,18,31,31,3,23,24,48,2,9,43,17,6,4,30,2,0,54,12,26,0,29,14,9,10,42,0,0,10,10,7,4,10,5,12,0,17,50,13,0,13,24,8,8,7,10,16,13,7,1,3,2,3,1,3,2,8,7,6,1,2,7,0,2,0,0,8,10,10,4,35,21,26,37,36,19,15,12,22,24,39,44,49,36,32,39,46,31,25,28,27,24,22,15,16,7,16,10,12,13,8,14,29,12,8,12,16,17,16,12,35,8,14,14,12,18,31,18,9,17,18,21,10,8,28,28,30,19,29
State of Paraíba,38,0,13,10,21,13,30,22,75,66,28,14,32,58,54,36,13,11,33,67,27,12,11,15,9,9,11,9,31,48,33,21,3,0,66,14,6,32,0,22,0,0,0,0,61,25,44,0,5,0,17,57,0,0,0,0,38,0,5,0,0,0,20,20,0,29,90,44,44,60,23,28,25,21,62,33,43,35,63,49,28,9,21,25,58,20,21,11,5,53,5,29,19,3,11,17,0,0,68,16,42,30,35,12,15,15,13,25,40,32,78,43,70,73,85,100,47,47,87,100,60,38,53,82,96,38,59,100,82,100,100,48,90,42,32,54,26,20,41,70,48,100,7,34,10,20,15,32,41,0,5,15,9,32,82,12,0
State of Pará,48,0,0,0,32,19,23,0,0,0,22,0,23,0,33,0,0,0,0,49,53,24,23,0,19,0,0,28,100,0,72,34,0,0,0,0,9,0,100,97,36,7,33,0,0,73,32,0,0,0,0,100,0,0,75,0,0,0,0,0,52,0,0,0,46,0,0,0,0,32,0,5,13,8,39,6,0,5,10,5,14,3,4,0,9,25,19,5,5,16,4,26,0,6,18,0,21,28,27,26,35,65,73,19,21,19,51,30,61,54,73,76,76,82,88,78,46,59,65,46,41,27,49,34,52,25,24,17,43,35,65,33,66,14,19,22,50,29,68,28,30,29,27,41,25,33,16,35,43,42,24,12,27,17,38,78,69
State of Pernambuco,16,69,22,60,48,11,84,74,100,70,88,100,88,100,25,43,35,48,56,92,60,36,17,17,0,22,9,10,11,54,100,12,0,12,25,100,9,36,37,71,25,8,25,3,18,28,36,55,9,100,0,33,29,0,10,37,42,59,3,24,39,3,24,12,51,16,50,71,48,95,35,20,29,17,34,23,27,23,6,8,5,3,18,9,11,10,3,1,4,33,14,10,7,4,7,17,63,32,100,72,77,44,55,30,24,28,40,37,43,45,91,56,77,90,80,40,38,44,29,40,39,19,22,24,23,20,16,27,28,12,41,35,24,14,29,21,24,26,26,6,10,33,17,47,24,25,15,18,5,50,12,18,31,34,20,28,71
State of Piauí,86,49,0,0,0,18,0,0,73,0,0,0,0,83,0,59,0,63,0,95,100,0,0,44,0,0,16,50,57,0,0,0,0,57,0,0,32,0,0,93,67,0,0,0,89,71,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,17,66,0,0,0,0,0,0,64,73,59,54,50,39,23,12,10,10,13,0,0,0,17,0,24,13,7,0,31,0,0,0,6,0,0,41,18,27,42,28,27,19,21,24,17,6,15,8,24,49,38,30,45,31,35,14,41,56,68,24,18,44,38,46,46,16,36,51,51,50,66,44,0,19,34,43,24,47,12,0,0,0,0,18,18,9,37,23,35,0,0,14,91,29,42,0
State of Rio Grande do Norte,44,55,10,32,32,0,0,33,77,40,87,22,100,0,34,0,0,100,0,51,0,12,11,0,0,0,8,0,30,49,0,0,25,0,67,45,0,48,48,100,35,0,33,0,0,37,33,0,0,0,26,0,26,0,26,0,0,0,8,22,0,0,0,0,0,0,0,0,0,74,50,42,41,23,59,16,27,21,16,14,4,16,21,24,37,6,0,2,14,17,9,0,9,3,0,0,0,10,15,19,32,18,21,22,10,13,10,28,38,40,75,50,71,95,79,69,100,73,68,61,55,54,28,37,38,46,26,17,68,24,40,57,52,30,21,13,16,21,43,14,38,39,21,17,21,52,16,11,0,21,5,27,9,21,0,0,42
State of Rio Grande do Sul,18,26,2,19,25,8,4,13,44,0,11,28,19,17,31,11,12,39,19,10,5,7,6,17,9,19,3,10,23,19,13,26,0,6,13,0,3,29,39,0,0,3,13,3,9,23,13,40,5,10,10,19,11,30,16,21,0,23,2,8,21,2,0,6,0,9,14,40,27,3,9,8,2,2,3,2,2,3,2,0,1,3,2,3,0,4,6,1,2,7,2,4,4,1,4,0,5,4,25,20,22,29,45,20,11,13,15,20,27,42,52,30,38,47,60,41,30,34,25,31,28,20,24,15,23,12,10,13,16,15,11,26,11,6,12,20,12,22,33,9,11,15,10,15,11,9,5,15,18,29,7,9,10,25,24,14,5
State of Rio de Janeiro,22,21,5,22,19,7,15,36,25,4,27,20,40,31,17,30,15,40,10,40,11,2,4,12,5,25,2,21,17,40,13,12,3,11,12,16,5,44,44,21,31,3,6,2,25,29,9,29,5,14,22,23,11,22,7,27,20,18,5,4,24,5,25,3,26,17,7,46,27,24,16,18,30,29,45,35,39,27,29,15,11,8,16,16,34,28,24,5,9,34,8,19,15,6,16,38,27,29,57,52,48,67,88,60,45,57,76,70,78,81,92,75,84,86,85,73,66,73,95,79,80,50,58,59,53,48,39,30,32,33,59,60,45,23,37,40,34,21,38,25,38,25,26,39,13,25,12,33,16,29,10,19,21,22,22,30,42
State of Rondônia,100,0,0,0,0,21,0,0,78,0,57,0,0,0,0,0,0,0,100,100,0,0,0,0,0,53,0,0,0,0,66,0,0,0,0,0,17,0,0,0,0,15,0,0,0,0,0,100,0,0,53,0,0,82,0,0,0,0,0,0,0,0,68,0,100,0,0,0,0,34,0,0,9,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,18,0,21,0,0,23,0,65,41,41,55,7,17,31,61,40,38,40,48,68,100,75,84,61,36,60,59,37,50,47,21,7,17,35,42,46,16,66,0,44,0,24,100,15,12,16,0,33,84,0,16,38,23,24,12,100,16,0,35,24,100,100,40,57,100
State of Roraima,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,73,0,0,0,100,68,75,100,100,0,100,100,100,100,100,0,0,0,0,47,20,39,0,0,27,26,0,29,23,43,53,96,55,91,46,84,71,45,0,24,0,0,0,100,38,77,0,41,69,57,98,0,0,100,0,0,100,67,0,0,0,0,69,0,100,100,100,0,0,100,100,100,0,0,0,0,0
State of Santa Catarina,29,0,6,30,10,3,21,20,12,31,17,13,30,39,40,9,0,0,61,31,17,7,3,13,3,8,5,8,9,15,11,0,5,39,0,27,0,15,15,28,11,2,10,1,0,12,0,31,3,0,8,16,9,24,17,64,0,33,5,6,16,5,20,20,14,14,0,0,0,0,3,9,4,3,4,4,2,3,2,1,1,1,3,2,6,6,2,0,0,0,3,0,3,0,3,5,0,11,37,10,22,46,34,16,12,18,17,11,37,43,50,26,30,39,41,36,23,26,31,28,20,14,14,27,5,9,15,13,20,12,13,13,13,6,15,23,18,7,30,12,13,13,24,34,10,14,11,15,19,33,11,15,12,7,41,4,49
State of Sergipe,91,0,0,0,0,0,0,0,76,0,59,0,67,85,0,0,100,0,88,0,0,43,34,0,0,100,15,100,0,98,0,64,0,0,0,86,0,0,0,0,67,0,64,0,0,0,0,96,16,0,0,0,0,0,100,0,0,100,15,41,100,0,0,0,91,89,0,0,0,63,10,28,34,33,25,34,47,0,0,9,4,16,8,0,18,12,40,0,28,0,18,18,18,18,18,57,0,19,14,62,55,49,26,41,27,17,17,34,13,42,44,44,72,39,46,54,25,35,54,25,19,39,16,23,33,46,16,22,39,34,52,100,64,17,0,11,36,0,97,37,43,33,24,30,54,18,9,0,24,56,9,0,16,38,30,22,0
State of São Paulo,51,43,12,55,45,13,38,56,57,61,43,37,47,66,57,33,19,50,60,74,41,17,18,34,13,46,9,26,38,73,32,43,8,31,94,47,8,62,64,51,36,9,38,5,49,33,31,42,7,55,24,29,26,42,33,38,57,49,7,21,48,6,28,23,28,48,75,65,67,31,13,14,17,10,10,9,6,6,7,4,2,4,5,4,9,7,9,2,4,12,5,8,9,3,9,14,22,10,32,27,29,40,43,21,16,16,21,22,42,52,55,47,47,49,54,42,35,37,35,34,35,21,26,20,22,17,13,17,24,13,30,33,26,10,22,21,16,19,29,19,31,25,15,24,19,18,11,24,20,26,12,12,19,28,32,19,49
State of Tocantins,0,0,0,100,0,58,68,100,0,0,0,0,96,0,100,0,0,0,0,0,0,36,0,0,29,0,27,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,70,0,0,100,100,0,0,0,0,0,0,17,0,15,14,21,0,20,0,18,0,0,20,0,0,30,0,21,6,0,0,0,0,0,0,29,0,0,31,69,29,49,39,56,21,26,24,60,60,58,100,73,100,73,72,77,57,82,46,71,58,95,26,18,48,45,58,28,0,87,17,59,32,0,0,0,20,31,0,41,0,0,27,0,100,32,30,31,33,21,91,46,15,51,31,100,0,74
